Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,3150.0,3150.0,3140.0,3140.0,6100
2026-02-27 00:00:00+07:00,3100.0,3250.0,3060.0,3110.0,11900
2026-03-02 00:00:00+07:00,3120.0,3160.0,3100.0,3160.0,4500
2026-03-03 00:00:00+07:00,3160.0,3160.0,3140.0,3150.0,11100
2026-03-04 00:00:00+07:00,3200.0,3200.0,3130.0,3170.0,15600
2026-03-05 00:00:00+07:00,3180.0,3220.0,3130.0,3200.0,3700
2026-03-06 00:00:00+07:00,3200.0,3200.0,3080.0,3080.0,2000
2026-03-09 00:00:00+07:00,3080.0,3090.0,3070.0,3080.0,3500
2026-03-10 00:00:00+07:00,3070.0,3090.0,3070.0,3070.0,1600
2026-03-11 00:00:00+07:00,3080.0,3160.0,3070.0,3100.0,2400
2026-03-12 00:00:00+07:00,3100.0,3100.0,3070.0,3080.0,5000
2026-03-13 00:00:00+07:00,3080.0,3100.0,3070.0,3080.0,13100
2026-03-16 00:00:00+07:00,3060.0,3060.0,3020.0,3030.0,16500
2026-03-17 00:00:00+07:00,3050.0,3050.0,3030.0,3030.0,1500
2026-03-25 00:00:00+07:00,3030.0,3040.0,3030.0,3030.0,6500
2026-03-26 00:00:00+07:00,3100.0,3100.0,3040.0,3040.0,7000
2026-03-27 00:00:00+07:00,3090.0,3110.0,3030.0,3060.0,6100
2026-03-30 00:00:00+07:00,3040.0,3120.0,3030.0,3120.0,6700
2026-03-31 00:00:00+07:00,3190.0,3220.0,3010.0,3160.0,63900
2026-04-01 00:00:00+07:00,3160.0,3400.0,3100.0,3280.0,117500
2026-04-02 00:00:00+07:00,3280.0,3300.0,3250.0,3250.0,28600
2026-04-06 00:00:00+07:00,3270.0,3280.0,3100.0,3110.0,6200
2026-04-07 00:00:00+07:00,3110.0,3220.0,3030.0,3030.0,13400
2026-04-08 00:00:00+07:00,3100.0,3270.0,3100.0,3120.0,17600
2026-04-09 00:00:00+07:00,3150.0,3270.0,3120.0,3140.0,9800
2026-04-10 00:00:00+07:00,3170.0,3190.0,3170.0,3190.0,400
2026-04-13 00:00:00+07:00,3250.0,3490.0,3190.0,3410.0,70800
2026-04-14 00:00:00+07:00,3480.0,3600.0,3410.0,3570.0,48600
2026-04-15 00:00:00+07:00,4000.0,4000.0,3500.0,3690.0,24100
2026-04-16 00:00:00+07:00,3690.0,3700.0,3530.0,3690.0,139500
2026-04-17 00:00:00+07:00,3640.0,3800.0,3640.0,3720.0,23100
2026-04-20 00:00:00+07:00,3720.0,3720.0,3540.0,3700.0,34000
2026-04-21 00:00:00+07:00,3550.0,3720.0,3550.0,3580.0,18600
2026-04-22 00:00:00+07:00,3720.0,3720.0,3580.0,3670.0,5700
2026-04-23 00:00:00+07:00,3650.0,3740.0,3600.0,3600.0,10900
2026-04-24 00:00:00+07:00,3650.0,3690.0,3530.0,3540.0,9600
2026-04-27 00:00:00+07:00,3540.0,3540.0,3500.0,3500.0,12300
2026-04-28 00:00:00+07:00,3510.0,3600.0,3430.0,3580.0,5100
2026-04-29 00:00:00+07:00,3600.0,3700.0,3200.0,3490.0,40100
2026-04-30 00:00:00+07:00,3500.0,3700.0,3490.0,3500.0,54600
2026-05-04 00:00:00+07:00,3730.0,4150.0,3490.0,3870.0,317200
2026-05-05 00:00:00+07:00,4230.0,4570.0,3850.0,3900.0,466900
2026-05-06 00:00:00+07:00,4020.0,4040.0,3500.0,3670.0,267600
2026-05-07 00:00:00+07:00,3670.0,3690.0,3550.0,3570.0,128800
2026-05-08 00:00:00+07:00,3600.0,3750.0,3510.0,3620.0,69000
2026-05-11 00:00:00+07:00,3620.0,3710.0,3510.0,3540.0,29900
2026-05-12 00:00:00+07:00,3520.0,3640.0,3400.0,3500.0,55000
2026-05-13 00:00:00+07:00,3590.0,3640.0,3470.0,3470.0,17600
2026-05-14 00:00:00+07:00,3470.0,3470.0,3470.0,3470.0,0
2026-05-15 00:00:00+07:00,3470.0,3470.0,3470.0,3470.0,0
2026-05-18 00:00:00+07:00,3470.0,3680.0,3300.0,3540.0,141600
2026-05-19 00:00:00+07:00,3450.0,3580.0,3380.0,3380.0,199200
2026-05-20 00:00:00+07:00,3420.0,3570.0,3380.0,3390.0,80700
2026-05-21 00:00:00+07:00,3390.0,3490.0,3390.0,3400.0,41700
2026-05-22 00:00:00+07:00,3550.0,3550.0,3420.0,3440.0,35700
2026-05-25 00:00:00+07:00,3480.0,3500.0,3450.0,3480.0,8200
2026-05-26 00:00:00+07:00,3480.0,3540.0,3450.0,3530.0,15800
2026-05-27 00:00:00+07:00,3530.0,3530.0,3530.0,3530.0,0
2026-05-28 00:00:00+07:00,3530.0,3530.0,3530.0,3530.0,0
2026-05-29 00:00:00+07:00,3530.0,3530.0,3440.0,3490.0,11300
2026-06-02 00:00:00+07:00,3490.0,3490.0,3320.0,3460.0,24300
2026-06-03 00:00:00+07:00,3480.0,3480.0,3420.0,3430.0,16300
2026-06-04 00:00:00+07:00,3430.0,3430.0,3410.0,3420.0,27300
2026-06-05 00:00:00+07:00,3430.0,3490.0,3420.0,3430.0,4500
2026-06-08 00:00:00+07:00,3400.0,3490.0,3390.0,3400.0,14800
2026-06-09 00:00:00+07:00,3400.0,3490.0,3390.0,3490.0,12400
2026-06-10 00:00:00+07:00,3410.0,3490.0,3400.0,3400.0,39900
2026-06-11 00:00:00+07:00,3480.0,3480.0,3410.0,3410.0,24900
2026-06-12 00:00:00+07:00,3410.0,3460.0,3410.0,3430.0,5700
2026-06-15 00:00:00+07:00,3400.0,3440.0,3390.0,3440.0,16200
2026-06-17 00:00:00+07:00,3460.0,3460.0,3450.0,3450.0,400
2026-06-18 00:00:00+07:00,3410.0,3470.0,3410.0,3460.0,400
2026-06-19 00:00:00+07:00,3480.0,3480.0,3400.0,3410.0,3800
2026-06-22 00:00:00+07:00,3410.0,3490.0,3400.0,3420.0,4300
2026-06-23 00:00:00+07:00,3490.0,3490.0,3440.0,3440.0,1800
2026-06-24 00:00:00+07:00,3440.0,3470.0,3440.0,3470.0,10400
2026-06-25 00:00:00+07:00,3460.0,3490.0,3440.0,3440.0,1700
2026-06-26 00:00:00+07:00,3440.0,3470.0,3420.0,3460.0,10000
2026-06-29 00:00:00+07:00,3510.0,3510.0,3430.0,3430.0,3000
2026-06-30 00:00:00+07:00,3390.0,3390.0,3360.0,3390.0,6800
2026-07-01 00:00:00+07:00,3400.0,3430.0,3360.0,3430.0,3600
2026-07-02 00:00:00+07:00,3450.0,3450.0,3440.0,3440.0,300
2026-07-03 00:00:00+07:00,3450.0,3450.0,3390.0,3430.0,38900
2026-07-06 00:00:00+07:00,3430.0,3450.0,3430.0,3450.0,16600
2026-07-07 00:00:00+07:00,3390.0,3450.0,3390.0,3430.0,1800
2026-07-08 00:00:00+07:00,3400.0,3450.0,3400.0,3450.0,18700
2026-07-09 00:00:00+07:00,3450.0,3450.0,3450.0,3450.0,4800
2026-07-10 00:00:00+07:00,3450.0,3450.0,3450.0,3450.0,0
2026-07-13 00:00:00+07:00,3450.0,3450.0,3450.0,3450.0,300
2026-07-14 00:00:00+07:00,3450.0,3460.0,3450.0,3460.0,300
2026-07-15 00:00:00+07:00,3490.0,3500.0,3470.0,3480.0,31000
2026-07-16 00:00:00+07:00,3490.0,3570.0,3490.0,3490.0,38600
2026-07-17 00:00:00+07:00,3540.0,3540.0,3510.0,3530.0,20700
2026-07-20 00:00:00+07:00,3530.0,3550.0,3530.0,3550.0,7000
2026-07-21 00:00:00+07:00,3550.0,3550.0,3530.0,3540.0,4900
2026-07-22 00:00:00+07:00,3540.0,3540.0,3520.0,3530.0,5900
2026-07-23 00:00:00+07:00,3520.0,3530.0,3520.0,3520.0,9900
2026-07-24 00:00:00+07:00,3530.0,3650.0,3530.0,3530.0,50000
2026-07-27 00:00:00+07:00,3540.0,3570.0,3520.0,3530.0,18700
2026-07-28 00:00:00+07:00,3540.0,3560.0,3540.0,3560.0,31000
2026-07-29 00:00:00+07:00,3560.0,3560.0,3540.0,3550.0,44700
2026-07-30 00:00:00+07:00,3560.0,3570.0,3550.0,3570.0,13500
2026-07-31 00:00:00+07:00,3570.0,3570.0,3560.0,3560.0,7700
2026-08-03 00:00:00+07:00,3550.0,3550.0,3540.0,3540.0,900
2026-08-04 00:00:00+07:00,3550.0,3550.0,3550.0,3550.0,17900
2026-08-05 00:00:00+07:00,3550.0,3560.0,3550.0,3560.0,1200
2026-08-06 00:00:00+07:00,3560.0,3570.0,3560.0,3560.0,15000
2026-08-07 00:00:00+07:00,3560.0,3560.0,3550.0,3550.0,1700
2026-08-10 00:00:00+07:00,3550.0,3560.0,3550.0,3560.0,4900
2026-08-11 00:00:00+07:00,3550.0,3560.0,3550.0,3550.0,83300
2026-08-12 00:00:00+07:00,3560.0,3560.0,3560.0,3560.0,300
2026-08-13 00:00:00+07:00,3550.0,3550.0,3550.0,3550.0,1000
2026-08-14 00:00:00+07:00,3550.0,3550.0,3550.0,3550.0,6200
2026-08-18 00:00:00+07:00,3550.0,3550.0,3450.0,3520.0,2200
2026-08-19 00:00:00+07:00,3530.0,3540.0,3500.0,3500.0,2700
2026-08-20 00:00:00+07:00,3520.0,3520.0,3520.0,3520.0,600
2026-08-21 00:00:00+07:00,3560.0,3560.0,3540.0,3540.0,400
2026-08-24 00:00:00+07:00,3540.0,3540.0,3490.0,3490.0,2100
2026-08-26 00:00:00+07:00,3490.0,3490.0,3490.0,3490.0,800
2026-08-27 00:00:00+07:00,3480.0,3480.0,3470.0,3470.0,2800
2026-08-28 00:00:00+07:00,3470.0,3470.0,3470.0,3470.0,1800
2026-08-31 00:00:00+07:00,3470.0,3470.0,3460.0,3460.0,5800
2026-09-01 00:00:00+07:00,3460.0,3500.0,3460.0,3470.0,5300
2026-09-02 00:00:00+07:00,3470.0,3470.0,3470.0,3470.0,7100
2026-09-03 00:00:00+07:00,3470.0,3470.0,3470.0,3470.0,600
2026-09-04 00:00:00+07:00,3490.0,3500.0,3490.0,3500.0,12800
2026-09-07 00:00:00+07:00,3590.0,3590.0,3590.0,3590.0,4700
2026-09-08 00:00:00+07:00,3590.0,3590.0,3590.0,3590.0,700
2026-09-09 00:00:00+07:00,3590.0,3590.0,3590.0,3590.0,300
2026-09-10 00:00:00+07:00,3590.0,3590.0,3500.0,3500.0,1900
2026-09-11 00:00:00+07:00,3500.0,3500.0,3500.0,3500.0,1000
2026-09-14 00:00:00+07:00,3520.0,3590.0,3520.0,3590.0,400
2026-09-15 00:00:00+07:00,3360.0,3390.0,3360.0,3390.0,5600
2026-09-16 00:00:00+07:00,3410.0,3590.0,3410.0,3590.0,4000
2026-09-17 00:00:00+07:00,3590.0,3590.0,3590.0,3590.0,5000
2026-09-18 00:00:00+07:00,3590.0,3600.0,3590.0,3600.0,1200
2026-09-21 00:00:00+07:00,3520.0,3520.0,3520.0,3520.0,3200
2026-09-22 00:00:00+07:00,3520.0,3520.0,3520.0,3520.0,1400
2026-09-23 00:00:00+07:00,3460.0,3460.0,3450.0,3450.0,3400
2026-09-24 00:00:00+07:00,3580.0,3580.0,3580.0,3580.0,100
